member_name_last_first,state,project_name,amount_requested_in_thousands_of_dollars,project_city_county_state,recipient_name,recipient_address,project_purpose,project_justification,fiscal_year
"Bice,
oxygen generating system, F-35 backup oxygen system, F-35 seat portion assembly, and F-35 pilot interface
connector.","This project funding is for purposes authorized by 10 USC Chapter 169 and is necessary to meet Air
Force maintenance and sustainment requirements for military aircraft at OKC-ALC.  The request is
included in the FYDP.",2024
"Escobar,
Veronica",TX,Collective Training Barracks,7200,"El Paso, TX",USAG Fort Bliss,"Directorate of Public
Works
Master Planning
Division
Master Planning
Branch
Building 777, Room
117
1733 Pleasonton Road
USAG Fort Bliss, TX","The funding would be used for the planning and design of Collective Training Barracks required to provide
housing for the many transient soldiers from Army Active, Army National Guard, and the Army Reserve
supported by Fort Bliss.","Additional barracks are required to fulfill housing needs of Fort Bliss to support its current and future
training missions.
There is a large number of transient soldiers from Active Army, Reserve Component, Army National
Guard, and other military components supported by Fort Bliss, as well as personnel from deploying
units who are on medical hold, all simultaneously demanding use of facilities and straining the existing
infrastructure at McGregor Range Camp. Only one battalion set of ORTC facilities is currently
available to support this mission. This unprecedented demand is forcing transient soldiers to be housed
in a combination of deteriorated temporary facilities and unacceptable semi-permanent facilities that
are ready for demolition. Many of these facilities do not provide heating and air-conditioned systems or
latrine facilities. Additionally, off post leased hotels are being used as a temporary alternative, causing
a multi-million-dollar annual cost.
A minimum of four letters of support from community stakeholders and the DD1391 are included in
supplemental documents.",2024
"Ezell, Mike",MS,"Air Traffic Control Tower Keesler AFB, MS (AETC)",1960,"Keesler AFB,
MS",Keesler AFB,"500 Fisher St. RM110,
Keesler AFB, MS,
39534","Planning and design for a new Air Traffic Control Tower at Keesler Air Force Base with Flight Simulator Facility
adjacent to Base Operations. The new Air Traffic Control Tower will be a ten-story facility constructed of drilled
piling foundation, reinforced concrete wall panels, reinforced concrete floor slabs, structural steel framing, back-
up generator, elevator, and all supporting utilities. Keesler’s Air Traffic Control Tower supports the only DoD
asset that provides data to the Dept of Commerce/National Hurricane Center to model path/intensity of tropical
weather and winter storms. Currently, the 42 year old control tower has multiple fire safety concerns, lacks proper
heating and air conditioning, and is vulnerable to tropical storms and hurricanes.  The height of the tower causes 2
visual blind spots on the apron, putting personnel and aircraft at risk. Continued lack of repairs or replacement
will result in the delay and suspension of critical NOAA missions","This is the number one MilCon priority for Keesler. Community support letters from state and city
attached.",2024
"Gaetz, Matt",FL,"Whiting Field, Advanced Helicopter Training System
Hangar with crane system",141500,"Milton, FL","Naval Air Station
Whiting Field","7550 USS Essex St.
Milton Fl 32570","Advanced Helicopter Training System Hangar with crane system, Naval Air Station Whiting Field facility hanger
capable of housing TH-73 helicopters. Current facility is incapable of housing full fleet of recently procured
aircraft. Without new hanger the aircraft will be left in the elements during severe storms. Request also accounts
for 2 cranes to service aircraft","In FY22-23 NDAA the committee purchased the Advanced Helicopter System or TH-73 helicopter. the
unit was procured to replace the TH-57 and provide superior aviation support for the Navy.
unfortunately, the Department of the Navy did not proceed with construction of the hanger to house
the new aircraft, thus leaving the newly received helicopters exposed to the harsh hurricane conditions
and high humidity within Northwest Florida. without this hanger the next storm will rip through this
new fleet of helicopters and waste critical recourses.",2024
"Hudson,
Richard",NC,Aircraft Maintenance Hangar,64000,"Cumberland
and Hoke
counties, NC",Fort Bragg,"2-1120 Macomb St.
Fort Bragg, North
Carolina 28310","Construct a four bay fixed rotary wing aircraft operations and maintenance hangar that includes maintenance bays
for scheduled and unscheduled maintenance, flight detachment administration and operations, maintenance
support, tool and parts storage, and shop space.","This project is required to provide permanent facilities and infrastructure to accommodate the
operations and maintenance of aircraft serving the U.S. Army Special Operations Command
(USASOC) at Fort Bragg.",2024
"Hudson,
Richard",NC,Child Development Center,36000,"Cumberland
and Hoke
counties, NC",Fort Bragg,"3550 All American
Fwy, Fort Bragg, NC
28310","To improve the existing deficit of Child Development Center spaces at Fort Bragg. This deficit creates an
unnecessary hardship on soldiers stationed at the installation. Especially at a time when more Soldiers and
families are in Garrison.","Lack of available childcare can be extremely stressful on dual-enlisted, and nontraditional parents.
Additionally, the deficit leads to parents utilizing non-authorized childcare which creates safety and
morale issues for Army personnel and their families.",2024
"Hudson,
Richard",NC,Crash Rescue Station,31000,"Cumberland
and Hoke
counties, NC",Fort Bragg,"3550 All American
Fwy, Fort Bragg, NC
28310","To construct an emergency respondent facility which supports the needs of military, civilians, soldiers and
families during fire and medical emergency situations.","The Crash Rescue Station plays a critical role on Fort Bragg in supporting deployments and the Global
Response Force since it's responsible for aircraft crash response and rescue operations. Aircraft can not
take off or land at Pope Field if a crash response isn’t available.",2024
"Johnson,
Mike",LA,307 Bomb Wing Medical Facility Expansion,7000,"Bossier Parish
(Barksdale Air
Force Base),
LA","Barksdale AFB,
307th Bomb Wing","1000 Davis Ave. E,
Barksdale Air Force
Base, Louisiana 71110",This project will expand the 307th Bomb Wing's medical facility at Barksdale Air Force Base.,"This project will expand the 307th Bomb Wing’s medical facility at Barksdale Air Force Base. The
current facility was constructed in 1998, and in 2021 a planning charrette conducted by the Navy
validated a requirement for an additional 5,352 square feet of space to meet mission needs. According
to the latest Reserve Facility Utilization Report, the 307th Bomb Wing is short of their space
authorization by 52%. The addition is needed to relieve overcrowding and allow the wing to more
efficiently medically process personnel during training weekends and for operational purposes. If the
addition is not constructed, personnel may not be medically cleared in a timely manner, thus delaying
deployments and overall wing readiness standing. The expansion has reached 100% design level, and
the Air Force maintains funds for this project can be fully obligated in FY24. The project enjoys broad
community support, and those letters are attached to the submission.",2024
"Levin, Mike",CA,"P521 Fire/Emergency Response Station (53 Area)
Replacement, MCB Camp Pendleton, CA",26825,"Camp
Pendleton, CA","United States Marine
Corps","Camp Pendleton
Community Plans and
Liaison Office (CPLO),
AC/S G-7
Box 555010
Building 1160, Room
280
MCB Camp Pendleton,
CA 92055-5010","This funding would be used to construct a fire emergency response station in the 53 Area of Marine Corps Base
(MCB) Camp Pendleton that meets Unified Facilities Criteria (UFC) design standards. Specifically, the project
includes construction of a single-story structure with administrative spaces, living quarters, training facilities,
storage spaces, recreation, fitness, kitchen and dining facilities, a covered patio, restrooms, laundry, and vehicle
apparatus bays including maintenance/storage bays. It will also include cybersecurity and antiterrorism features,
built-in equipment such as an emergency generator and fireman gear lockers, and paving and site improvements.
Lastly, the project includes demolition of two buildings in the 52 Area of the base. These facilities are inadequate
and cannot safely or efficiently meet mission needs for the growing population, leading to worsening response
times. The current fire station (built in 1942) and apparatus bay (built in 1986) are antiquated, and neither
efficiently configured to support the larger vehicles used by MCB Camp Pendleton Fire Department nor designed
to meet current seismic standards. This vulnerability poses the risk of collapse due to a natural disaster or other
catastrophe, undermining the base’s ability to respond to emergency situations.
The new station funded by this project will provide complete emergency services with improved response times to
a 200 square mile radius, including the base’s jurisdiction on Interstate 5 and all major live fire training ranges
and facilities located within the north end of the base. Specifically, it will serve $2 billion in installation facilities
and 75,000 military and civilian personnel.","The project is an appropriate use of taxpayer funds because it provides a facility that meets current
design and seismic standards, thereby enabling firefighters to protect lives and property at MCB Camp
Pendleton. It will support the life, health, safety, and resiliency of MCB Camp Pendleton, I Marine
Expeditionary Force (MEF), Major Commands, Marines, Sailors, tenants, and families.",2024
"Lofgren, Zoe",CA,Network Enterprise Center,40000,"Jolon, CA",Fort Hunter Liggett,"238 California Avenue,
Jolon, CA 93928","The authorization of this major military construction project (PN 97212) allows for the construction of the
Network Enterprise Center (NEC) at Fort Hunter Liggett. The construction of the Network Enterprise Center will
have a standard design Information Systems Facility (ISF), organizational vehicle parking, open storage area and
building information systems. The facility includes space for a command center for operations support with video
teleconferencing capability, administration, reception, network administrators, operations floor, tech lab,
operations center, administrative offices, customer service center, technical assistance for information technology,
controlled humidity warehouse, loading dock with receiving zone, shower/locker rooms, and break rooms.
Supporting facilities include utilities, fire protection and alarm systems, Intrusion Detection System installation,
Utility Monitoring Control Systems (UMCS) connection, uninterrupted power supply, redundant mechanical and
electrical systems, heating and cooling, and pavements, walks, and curbs. As part of its mission, the Network
Enterprise Center provides Information Technology, Cybersecurity, and Communications including telephone,
911 , and first responder radio services to Fort Hunter Liggett and Parks Reserve Forces Training Area (PRFTA).
Additionally, the FHL NEC provides first-responder radio services to Camp Roberts Satellite Communications
(SATCOM) Security Forces. The facility is 30-years beyond the intended lifecycle and was never renovated to
serve as a modern IT Data Center. It lacks all features required for a Data Center including adequate power and
HVAC, safety equipment and controls, capacity, scalability, security features, and others.","The age and condition of the Fort Hunter Liggett NEC Facility places it at great risk to catastrophic
failure, thus jeopardizing the installation's mission. There have been numerous service outages related
to the age of the infrastructure and complete failure will eventually result. These service outages bring
the mission at FHL and PRFTA to a complete standstill, significantly degrading the ability of first
responders to communicate and compromising cybersecurity protocols. In addition to the risk and
effects of frequent service outages, there are significant life health-safety issues with the current
facility. The building is porous and has led to a rodent infestation. Rattle snakes have also entered the
building on several occasions, posing immediate risk to employees. Adding further risk is the fact that
the Data Center is not equipped with emergency power kill switches that are required in the event of
electrocution.

Attached is a white paper describing the need for the project and a DD 1391.",2024
"Loudermilk,
Barry",GA,622 CEG-CEF Administrative Facility,12000,"Marietta, GA","Dobbins Air Reserve
Base","884 Industrial Drive,
Bldg. 501
Dobbins Air Reserve
Base, GA 30176","Construction of an administrative space to replace the current facility and allow for consolidation. The existing
space is being renovated for occupancy by the 94th Airlift Wing and 22nd Air Force. If not funded, the planned
occupancy of the existing space by the 94th Airlift Wing and 22nd Air Force would leave the Civil Engineering
Group with no permanent facility to conduct day to day mission requirements. The unit’s training facilities are
also located on another portion of the base, requiring personnel to drive to the site in order to process and train
personnel.","Letter of support from the Cobb County Chamber of Commerce will be attached.

AF did not provide DD-1391.",2024
"Loudermilk,
Barry",GA,94 LRS Supply Facility,26000,"Marietta, GA","Dobbins Air Reserve
Base","884 Industrial Drive,
Bldg. 501
Dobbins Air Reserve
Base, GA 30176","Demolishing existing space and construct a new facility consisting of administrative space, warehouse space, and
hazardous material storage. If not funded, the current administrative facility’s electrical, lighting, fire detection,
and roofing components will soon need replacement in order to maintain reliable operations. The warehouse space
will continue to have inadequate storage capabilities to meet existing requirements.","Letter from Cobb County Chamber of Commerce will be attached.

AF did not provide DD-1391.",2024
"Loudermilk,
Barry",GA,Security Forces Facility,22000,"Marietta, GA","Dobbins Air Reserve
Base","884 Industrial Drive,
Bldg. 501
Dobbins Air Reserve
Base, GA  30176","Constructing a new facility supporting squadron training, administration, operations, and storage requirements for
both base operations and deployable forces. Facility would include classrooms, weapons vault, combat training
room, locker rooms and showers. If not funded, the current facility will continue to degrade while maintenance
costs increase, the unit would continue to use outdated systems further degrading mission readiness.","Cobb County Chamber of Commerce support letter will be attached.

AF did not provide DD-1391.",2024
"Lucas, Frank
D.",OK,Altus AFB Main Gate,22000,"Altus, OK",Altus Air Force Base,"307 B Avenue, Altus
Air Force Base,
Oklahoma 73523","Provide a 24-hr access control point to include construction of a visitor control center, commercial vehicle search
area and the addition of another traffic lane at the identification checkpoint.  The project will move the existing
gate west out of the identified flood plain.  The visitor’s center will be collocated with the identification check
houses and covered entry control area for all weather capabilities.   The commercial search area will have the
required standoff to allow continued use of the new identification check houses to eliminate the possibility of
shutting down access to the installation.   Utilities will be extended to service new facilities and reroute both in and
outbound lanes to provide serpentine, traffic calming and proper rejection lanes for inbound traffic in accordance
with Unified Facilities Criteria","Provide a 24-hr access control point to include construction of a visitor control center, commercial
vehicle search area and the addition of another traffic lane at the identification checkpoint.  The project
will move the existing gate west out of the identified flood plain.  The visitor’s center will be collocated
with the identification check houses and covered entry control area for all weather capabilities.   The
commercial search area will have the required standoff to allow continued use of the new identification
check houses to eliminate the possibility of shutting down access to the installation.   Utilities will be
extended to service new facilities and reroute both in and outbound lanes to provide serpentine, traffic
calming and proper rejection lanes for inbound traffic in accordance with Unified Facilities Criteria",2024
"Lucas, Frank
D.",OK,Undergraduate Pilot Training Center,84000,"Enid, OK","Vance Air Force
Base","246 Brown Parkway,
OK, 73705","AFB has six Flying Training Squadrons directly supporting the flying mission; 5FTS (Reserve squadron for all Vance aircraft), 8FTS (T-6), 25FTS (T-38),
3FTS (T-1), 33FTS (T-6), and the 71 Student Squadron (STUS). The existing squadron facilities are operating beyond their square footage and Life
Safety Code 101 occupancy capacity with current student loads. The five flying training squadrons are currently operating in four facilities, with each
facility only sized for one squadron. The existing space for flying training squadrons, along with each of the functions in this facility, is currently 4,316
square meters (46,454 square feet) less than required and authorized. The current shortage of square footage requires flying squadrons to split operations
between different buildings, straining command and control while degrading efficiency. The classrooms utilized for flight training are located in a separate
facility that is a quarter of a mile from the squadron facilities. This creates scheduling inefficiencies due to the travel time between facilities, along with a
disjointed agenda for the students and personnel.
In August 2018, the Air Force increased student class sizes, compounding the existing occupancy capacity issues. Vance graduated 294 pilots in FY16,
and that number has increased to 371 graduates in FY19 – with an additional projected increase of 460 graduates at the anticipated peak in FY21. The
existing facilities are not able to house this increase in pilot production. Additional working space is vitally needed for additional instructor pilots (IPs) that
have been assigned in response to the increased student load and AETC’s forecast to man each flying squadron with three CSS civilians, one civilian
scheduler and one civilian stan/eval personnel. As of June 2019, the flying training squadrons are using a temporary facility approved through project
XTLF18-1025 in the interim of constructing the Undergraduate Pilot Training Center. This temporary facility had an initial cost of $3M, and its annual
lease cost is $554K.
Vance AFB’s current academic lecture hall is undersized in proportion to the base’s need by 362 SM (3,892 SF). The lecture hall currently only holds
242 people. Pilot graduations are held at this facility, and the new pilot training format requires two classes to graduate at once. This space was
inadequate to hold a graduation with even one class, so since the new format has taken effect, two ceremonies are required to be held for every
graduation. Holding two ceremonies occupies 3-4 hours of time for commanders, superintendents, and participants required to attend. It also requires the
guest speakers to speak twice. The lecture hall is also used for any mass briefing, including safety meetings, trainings, award presentations, and other
mandated events. In addition to its space deficiency, the facility is 77 years old.
Facility 171, one of the facilities to be demolished as part of this project, whose occupancy is moving into the new facility, has a small Family Support
Squadron (FSS)- operated space currently within it. This space is open to all of the Vance population, but is primarily intended to provide quick meals to
the students and instructor pilots who have limited time allotted in their daily schedules to procure food. Vance does not have many options on-base to
eat; the only options being the Club, the Bowling Alley, the Base Exchange, and the small space in F171 mentioned above. All of these locations are
limited in the number of people they can serve in a timely manner due to kitchen capacity.
The buildings that are to be demolished in accordance with this project are 55, 35, 32, 50, 52, and 77 years old.","The flying training squadrons will be housed in facilities that are exceeding the occupancy loads as
required by the Life Safety Code 101. A shortage of training mission due to overcrowding, scheduling
conflicts, and workarounds now encountered in the existing facilities. Command and control of the
flying squads will continue to be strained due to splitting their operations between different buildings.
Mission efficiency will continue to decrease as more and more student pilots are added to the squadron
facilities that were not sized to accommodate this many students and instructor pilots. If this project is
not funded, the efficiency and ability of the resulting in an inadequate flying training squadrons and
base operations will continue to experience a decreased quality of training due to the inadequate space
allotted, use of outdated facilities, and frequent travel to and from facilities that are not located near
one another.
If the Undergraduate Pilot Training Center is not constructed within 5 years of June 2019, the use of
the interim temporary facility must be re-approvved. In addition, the constraints on pilot graduations
and continue the necessity for two ceremonies to be held for every graduate.",2024
"Meuser,
Daniel",PA,FTIG Auto MPMG Range,15500,"Annville, PA",Fort Indiantown Gap,"Building 7-36 Ft.
Indiantown Gap |
Annville, PA 17003-
5002","Multi-Purpose Machine Gun Range. To construct a 10 lane multi-purpose machine gun range that supports
training requirements of the Pennsylvania Army National Guard at Fort Indiantown Gap, PA to train and test
crews on the skills necessary to detect, identify, engage and defeat
stationary and moving infantry and armor targets in a tactical array. Project will consist of ten medium machine
gun firing points, four vehicle heavy machine gun firing points, and a range operations control area consisting of a
range control tower, range operations and storage building, bleacher
enclosure, covered mess shelter, latrine, and ammunition breakdown building. Supporting facilities include electric
service, site improvements, down range service roade to include a down range bridge crossing and required
utilities. This facility will be build on federal land. The project has been validated by ARNG-TR and approved to
move project to DA level for review.","If this project is not provided, PAARNG units will continue to face adverse impacts to training and
readiness for machine gun training. Soldiers will be unable to train and test on an Automated Multi-
Purpose Machine Gun Range (MPG). The existing range complex is unable to handle the demand of
PAARNG units forcing them to travel to ranges in other states to effectively conduct individual or crew
training requirements for automatic weapon systems. These alternative locations result in increased
fuel consumption, military vehicle maintenance, increased meals and lodging costs. The current
situation also causes a deficiency in the Army Range Requirements Model (ARRM)",2024
"Nadler,
Jerrold",NY,"Lexington Armory National Guard Readiness Center
Addition/Alteration",90000,"New York,
NY","New York Division
of Military and
Naval Affairs","330 Old Niskayuna
Rd
Latham, NY 12110","The historic Lexington Avenue Armory in Manhattan, home of the Fighting 69th Infantry, built in 1904, requires
a rehabilitation to the existing 200,873 square foot building to support military training, administrative, and
logistical requirements. . The armory has suffered over the years and today cannot meet the Soldier and unit
readiness objectives of the 21st Century U.S. Army, especially as the Army undergoes historic equipment
modernization over the next decade. After completion of this top to bottom rehabilitation, the armory will be a
modern, adaptable, and sustainable facility directly supporting the readiness of the units assigned. It will provide a
professional military presence while efficiently supporting unit training, the Army talent management objectives,
provide a state-of-the-art mobilization station, support the Army’s equipment modernization priorities, and serve
as the epicenter of the state’s civil support response capabilities in Manhattan.
The construction costs for the project is $120 million total, with $90 million federal share (75%) and $30 million
state share (25%). The project has completed all required milestones to be on the Army's FY2024 UPL.
* 65% design approved by the National Guard Bureau (NGB)
* DD Form 1390/91 approved by NGB
* The certificate of title (proof of ownership of the property) approved by NGB
* Master Cooperative Agreement between the State and NGB signed
* NY has provided the 25% State matching funds ($30M)
* NY has funded the design and construction management ($22M)","This project is critical to the State of New York/New York Army National Guard and in the best
interest of the taxpayer because the historic Readiness Center built in 1904 does not meet current
Army readiness standards. The existing Readiness Center lacks modern technologies to include data,
communication, building security, and heating and air conditioning systems. The existing
administrative, supply, maintenance, instructional multi-purpose training spaces, locker rooms, and
male and female latrines and shower rooms have not been modernized since built.",2024
"Pfluger,
August",TX,Pipeline Student Dormitory,82000,"San Angelo,
TX","Goodfellow Air
Force Base","17th Training Wing
351 Kearney Blvd Suite
220
San Angelo, Texas
76908","The mission of Goodfellow Air Force Base is to train, transform and empower joint coalition warriors. A 2019
Installation Manpower and Requirements Document identified a 422-bed deficit for pipeline students. The bed
deficit has been temporarily mitigated by the addition of temporary dorms and a housing agreement with the local
university, but this is a stop gap measure that is unsustainable. Additional permanent dormitories are needed to
reduce the deficit in student housing and support the training mission of the base. This is not a tenant or
supported service requirement.
The existing pipeline dormitory assets on Goodfellow AFB are insufficient to support the current student
population attending training and the “students not in training” who are delayed as they wait to obtain the
required security clearances. To accommodate the demand, the base obtained a temporary waiver to AFI 32-
6005’s exception to adequacy standards from Air Force Civil Engineering Center Housing Division (AFCEC/CIM)
and excess students are being housed in leased modular dormitories or in housing provided by a local university
through an Intergovernmental Service Agreement at a cost of some $3.0M per year. This stop gap measure
however expired in January of 2020 and the base is once again out of compliance with Air Force adequacy
standards and continues to run a deficit in pipeline dormitory spaces at a significant annual cost.","This project is supported by the mayor of San Angelo, County Judge, State Senator, Angelo State,
other local community leaders, and the San Angelo Chamber of Commerce. All of these letters, can be
viewed below.",2024
"Rogers, Mike",AL,Access Control Point,55389,"Anniston
Army Depot,
AL","Anniston Army
Depot","7 Frankford Ave
Anniston, AL 36201","ANAD's current main gate and access control facilities are not in compliance with UFC 4-022-01, Security
Engineering: Entry Control Facilities(ECF)/Access Control Points, for design of vehicle inspection point, access
denial, installation approach zone, and turn-around configuration. The ISR Rating for Building 367, ANAD’s
Main Gate and Entry Control/Visitor Center is rate F3/Q2. This project will remedy the issues outlined.","The Calhoun County Area Chamber and Visitors Center and the Calhoun County Economic
Development Council support Anniston Army Depot's (ANAD) construction of a new main entrance
gate that connects Bynum Blvd at the Turner Road/Bynum Blvd intersection. The Main Gate will
provide more security by providing a better Access Control Point for commercial vehicles and
inspection capability for all visitors. The Depot's traffic flow and vehicle safety will significantly be
improved.

The Main Gate entrance area is ANAD's front door to the world for their assigned Center of Industrial
Technical Excellence Mission to sustain all combat vehicles, except Bradley. It is the county's largest
employer and handles the daily commutes of approximately 2,000 of ANAD's 4,000 employees. The
entrance area also processes all commercial and visitor traffic to the Depot.",2024
"Rogers, Mike",AL,Component Rebuild Shop,81289,"Anniston
Army Depot,
AL","Anniston Army
Depot","7 Frankford Ave
Anniston, AL 36201","This project will support production of all combat vehicles and artillery including M1, M88, M109, M9ACE,
FAASV, ABV, M113, OSV, Stryker, JAB, M777, M198, M119, M102. This will support Army readiness by
improving overall efficiencies of vehicle repair production by improving vehicle process flow and keeping all
components under one roof. The 158,500 SF facility will be used to support repair and overhaul of the future
Extended Range Cannon Artillery and the Armored Multi-Purpose Vehicle (AMPV).
Bldg. 114 is an aging facility facing many environmental challenges, having to be constantly retrofitted and
modified to meet changing mission and environmental requirements. ANAD needs a new self contained Plating
and Finishing facility constructed and designed to better handle the current and changing environmental and
safety regulations. Constructing a new state of the art plating and finishing facility will allow ANAD to begin
remediation efforts on Bldg. 114.","The project will support Army readiness by improving overall efficiencies of vehicle sustainment by
improving vehicle process flow and keeping all components under one roof.  The project will enable
ANAD to continue its implementation of LEAN Manufacturing processes that improve efficiency,
provide the expanded capability to support their Army assigned Center of Industrial Technical
Excellence Mission, and increase established and future partnerships with Industry and other DOD
Services and Foreign Military Sales. The project will reduce risk of accidents due to the unnecessary
movement of combat vehicles and components.",2024
"Rogers, Mike",AL,Vehicle Paint Shop,28979,"Anniston
Army Depot,
AL","Anniston Army
Depot","7 Frankford Ave
Anniston, AL 36201","A new paint facility is required to meet mission requirements including the new Extended Range Cannon Artillery
(ERCA) requirements for M777 and M109 while improving overall efficiencies of combat vehicle production by
improving vehicle process flow. Current painting operations do not allow for the longer ERCA cannon length
when assembled on the Paladin M109 and the M777. This new facility will support the larger sized booths as
required by the ERCA dimensions, allowing adequate space for full turning rotation and vehicle length of
assembled combat vehicles placed inside the proposed paint, sanding, and drying booths.","The new paint facility enables the Depot to enhance current mission requirements and meet future
needs, which includes the new Extended Range Cannon Artillery (ERCA) for the M777 and Ml09
combat vehicles. The project improves the overall efficiencies of current combat vehicle production by
improving vehicle process flow. Current painting operations do not allow longer ERCA cannon length
when assembled on the Paladin M109 and the M777. This new facility will support the larger-sized
booths as required by the ERCA dimensions, allowing adequate space for full turning rotation and
vehicle length of assembled combat vehicles placed inside the proposed paint, sanding, and drying
booths.",2024
"Tokuda, Jill
N.",HI,Water Reclamation Facility Compliance Upgrade,227350,"Kaneohe Bay,
HI","Marine Corps Base
